                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66018,                0.49698,                0.86841,                0.71165,                0.72602,                0.81755,                0.41543,                    nan,                    nan,                    nan,             5.6192e-05,             5.6192e-05,             5.6192e-05
                      2,                0.66418,                 0.5008,                0.86982,                0.75558,                 0.7169,                0.78598,                0.44131,                    nan,                    nan,                    nan,             0.00010139,             0.00010139,             0.00010139
                      3,                0.66736,                0.50985,                0.87163,                0.82089,                0.61513,                0.76783,                0.42067,                    nan,                    nan,                    nan,             0.00013542,             0.00013542,             0.00013542
                      4,                0.66983,                0.50931,                0.87183,                0.79625,                 0.6448,                0.77986,                0.41516,                    nan,                    nan,                    nan,             0.00011881,             0.00011881,             0.00011881
                      5,                0.66384,                0.50056,                0.86909,                0.72132,                0.66202,                0.76705,                0.39472,                    nan,                    nan,                    nan,             0.00010208,             0.00010208,             0.00010208
                      6,                0.65551,                0.48621,                0.86871,                0.78567,                0.66742,                0.77367,                0.41419,                    nan,                    nan,                    nan,             8.5345e-05,             8.5345e-05,             8.5345e-05
                      7,                0.64762,                0.48297,                0.86651,                 0.8226,                0.65995,                 0.7859,                0.41805,                    nan,                    nan,                    nan,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      8,                0.64335,                0.47432,                0.86407,                0.73476,                0.70961,                0.80322,                0.41701,                    nan,                    nan,                    nan,             5.1883e-05,             5.1883e-05,             5.1883e-05
                      9,                0.63926,                0.46905,                0.86419,                0.74942,                0.70783,                0.83464,                0.43577,                    nan,                    nan,                    nan,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     10,                0.63332,                 0.4652,                0.86225,                0.72073,                0.73969,                0.82227,                 0.4403,                    nan,                    nan,                    nan,             1.8421e-05,             1.8421e-05,             1.8421e-05
                      1,                0.61334,                0.45209,                0.85451,                0.75205,                0.69805,                0.79687,                0.40445,                    nan,                    nan,                    nan,             5.6192e-05,             5.6192e-05,             5.6192e-05
                      2,                0.61154,                0.45153,                 0.8532,                0.82432,                0.66473,                0.80481,                0.42859,                    nan,                    nan,                    nan,             0.00010139,             0.00010139,             0.00010139
                      3,                0.61793,                0.46127,                0.85582,                0.86708,                0.62563,                0.80393,                0.44447,                    nan,                    nan,                    nan,             0.00013542,             0.00013542,             0.00013542
                      4,                0.63421,                 0.4675,                0.85757,                0.71828,                0.66609,                0.80555,                  0.423,                    nan,                    nan,                    nan,             0.00011881,             0.00011881,             0.00011881
                      5,                0.61242,                0.45476,                0.85391,                0.72324,                0.67124,                0.76798,                0.38893,                    nan,                    nan,                    nan,             0.00010208,             0.00010208,             0.00010208
                      6,                 0.6173,                 0.4484,                0.85574,                0.85548,                0.62868,                0.78267,                0.43378,                    nan,                    nan,                    nan,             8.5345e-05,             8.5345e-05,             8.5345e-05
                      7,                 0.6031,                0.44194,                0.85283,                0.81488,                0.65041,                0.76813,                0.40702,                    nan,                    nan,                    nan,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      8,                0.60249,                0.43876,                0.85166,                0.77241,                0.66281,                0.78553,                0.43189,                    nan,                    nan,                    nan,             5.1883e-05,             5.1883e-05,             5.1883e-05
                      9,                0.60442,                0.43824,                0.85377,                0.74091,                0.70114,                0.81734,                0.44606,                    nan,                    nan,                    nan,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     10,                0.60634,                0.43831,                0.85362,                0.80898,                0.67703,                0.81466,                0.43996,                    nan,                    nan,                    nan,             1.8421e-05,             1.8421e-05,             1.8421e-05
                      1,                0.58174,                0.42585,                0.84532,                0.77998,                 0.7134,                0.82605,                0.43109,                    nan,                    nan,                    nan,             5.6192e-05,             5.6192e-05,             5.6192e-05
                      2,                0.57811,                0.42293,                0.84328,                0.73738,                0.66504,                 0.7668,                0.39204,                    nan,                    nan,                    nan,             0.00010139,             0.00010139,             0.00010139
                      3,                0.58717,                0.43033,                0.84575,                0.76767,                0.68508,                0.77217,                0.42317,                    nan,                    nan,                    nan,             0.00013542,             0.00013542,             0.00013542
                      4,                0.60162,                 0.4357,                0.84756,                0.66037,                0.72862,                0.79989,                0.43281,                    nan,                    nan,                    nan,             0.00011881,             0.00011881,             0.00011881
                      5,                0.58514,                0.42621,                 0.8443,                0.74051,                0.67717,                0.76733,                0.38534,                    nan,                    nan,                    nan,             0.00010208,             0.00010208,             0.00010208
                      6,                0.58862,                0.42346,                0.84646,                0.84425,                0.60171,                0.81973,                0.43745,                    nan,                    nan,                    nan,             8.5345e-05,             8.5345e-05,             8.5345e-05
                      7,                0.56893,                 0.4154,                0.84306,                0.77041,                0.69304,                0.78145,                0.41572,                    nan,                    nan,                    nan,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      8,                0.57176,                0.41413,                0.84261,                0.84648,                0.66058,                0.79338,                0.41759,                    nan,                    nan,                    nan,             5.1883e-05,             5.1883e-05,             5.1883e-05
                      9,                0.57897,                0.41612,                0.84641,                0.76721,                0.70683,                0.79137,                0.42327,                    nan,                    nan,                    nan,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     10,                0.59632,                0.42591,                0.85013,                0.82322,                 0.6694,                0.80623,                0.42232,                    nan,                    nan,                    nan,             1.8421e-05,             1.8421e-05,             1.8421e-05
                      1,                0.71614,                0.49804,                0.87961,                0.68328,                0.90307,                0.88583,                0.60474,                 1.2443,                0.90435,                0.98651,             5.6193e-05,             5.6193e-05,             5.6193e-05
                      2,                0.72836,                0.51251,                0.88163,                0.74757,                0.86085,                0.89625,                0.61675,                 1.2172,                0.89812,                0.97452,             0.00010139,             0.00010139,             0.00010139
                      3,                0.73965,                0.51735,                0.88258,                0.73279,                 0.8341,                0.85055,                0.59501,                 1.2094,                  0.978,                0.97925,             0.00013543,             0.00013543,             0.00013543
                      4,                0.73495,                0.51987,                0.88394,                0.71896,                 0.7892,                0.82925,                0.56626,                 1.2374,                 1.0426,                0.97859,             0.00011881,             0.00011881,             0.00011881
                      5,                0.73129,                0.51429,                0.88091,                0.68144,                 0.8403,                0.86143,                 0.5901,                 1.2433,                0.99746,                0.98357,             0.00010208,             0.00010208,             0.00010208
                      6,                 0.7136,                0.48911,                0.87644,                0.68693,                0.82663,                0.84866,                0.58742,                 1.2197,                0.89539,                0.97915,             8.5345e-05,             8.5345e-05,             8.5345e-05
                      7,                0.70444,                0.48708,                0.87419,                0.71042,                 0.8633,                0.86925,                0.58673,                 1.2405,                0.85516,                0.98387,             6.8614e-05,             6.8614e-05,             6.8614e-05
                      8,                0.68737,                0.46576,                0.86623,                0.70829,                0.85647,                0.89228,                0.61316,                 1.2332,                 0.8808,                 0.9792,             5.1883e-05,             5.1883e-05,             5.1883e-05
                      9,                 0.6807,                0.46076,                0.86911,                0.72854,                0.82753,                0.87203,                0.60076,                 1.2036,                0.86465,                0.97062,             3.5152e-05,             3.5152e-05,             3.5152e-05
                     10,                0.66557,                0.44363,                0.86186,                0.76798,                0.82259,                0.88198,                0.60498,                 1.2047,                0.86586,                0.97192,             1.8421e-05,             1.8421e-05,             1.8421e-05
